Geo Point;Geo Shape;Código;Nombre;Categoria;Actividad;Dirección;Teléfono;Pagina web
4.6152509440000795,-74.07153385099991;"{""coordinates"": [-74.07153385099991, 4.6152509440000795], ""type"": ""Point""}";05180013;Escultura Nave Espacial;5;18;;;
4.597386297000071,-74.07642138699993;"{""coordinates"": [-74.07642138699993, 4.597386297000071], ""type"": ""Point""}";05180021;Estatua Tomas Cipriano de Mosquera;5;18;;;
4.602078094000092,-74.06676842199994;"{""coordinates"": [-74.06676842199994, 4.602078094000092], ""type"": ""Point""}";05180023;Estatua Ricardo Palma;5;18;;;
4.625450054000055,-74.0742060039999;"{""coordinates"": [-74.0742060039999, 4.625450054000055], ""type"": ""Point""}";05180032;Monumento al Almirante José Prudencio Padilla;5;18;;;
4.732816357000047,-74.07509518499995;"{""coordinates"": [-74.07509518499995, 4.732816357000047], ""type"": ""Point""}";05180037;Monumento 21 Ángeles;5;18;;;
4.601861040000073,-74.07187981999994;"{""coordinates"": [-74.07187981999994, 4.601861040000073], ""type"": ""Point""}";05190021;Museo del Oro;5;19;;3432222;http://www.banrepcultural.org/museo-del-oro
4.596000313000047,-74.07386256299992;"{""coordinates"": [-74.07386256299992, 4.596000313000047], ""type"": ""Point""}";05190031;Instituto Caro y Cuervo;5;19;CL 10 4 69;3422121;http://www.caroycuervo.gov.co/
4.596422266000047,-74.0745864029999;"{""coordinates"": [-74.0745864029999, 4.596422266000047], ""type"": ""Point""}";05200006;Palacio de San Carlos;5;20;CL 10 5 51;;http://www.cancilleria.gov.co/ministry/the_ministry/history/palace
4.740978096000049,-74.08384930199992;"{""coordinates"": [-74.08384930199992, 4.740978096000049], ""type"": ""Point""}";05200017;Plaza Fundacional de Suba;5;20;;;
4.824664002000077,-74.03585103099994;"{""coordinates"": [-74.03585103099994, 4.824664002000077], ""type"": ""Point""}";03080030;Club Bellavista Colsubsidio;3;8;AK 45 245 91;;http://www.clubescolsubsidio.co
4.606821057000047,-74.18556143199993;"{""coordinates"": [-74.18556143199993, 4.606821057000047], ""type"": ""Point""}";04140002;Hospital Bosa II Nivel E.S.E.;4;14;CL 65 D SUR # 79 C 90;7764003;www.esebosa.gov.co/?
4.552757338000049,-74.09441874099991;"{""coordinates"": [-74.09441874099991, 4.552757338000049], ""type"": ""Point""}";04140005;Hospital La Victoria III Nivel E.S.E.;4;14;DG 39 SUR # 3 20 ESTE;2066791;www.esevictoria.gov.co
4.559554838000054,-74.13870319299991;"{""coordinates"": [-74.13870319299991, 4.559554838000054], ""type"": ""Point""}";04140006;Hospital Meissen II Nivel ESE;4;14;KR 18 B # 60 G 36 SUR;7619082;www.hospitalmeissen.gov.co
4.696348673000045,-74.03049903999994;"{""coordinates"": [-74.03049903999994, 4.696348673000045], ""type"": ""Point""}";04140016;UPA Usaquén;4;14;KR 6 A # 119 B 14;6570050;www.hospitalusaquen.gov.co
4.562849913000093,-74.12530770199993;"{""coordinates"": [-74.12530770199993, 4.562849913000093], ""type"": ""Point""}";04140035;Hospital Tunjuelito II Nivel ESE Unidad de Medicina Interna;4;14;AV CARACAS # 51 21 SUR;2050514;www.esetunjuelito.gov.co/?
4.715287014000069,-74.14043568799991;"{""coordinates"": [-74.14043568799991, 4.715287014000069], ""type"": ""Point""}";04140065;CAMI Emaus;4;14;CL 64 C # 121 76;2295573/4;www.saludcapital.gov.co
4.649816891000057,-74.08142846699991;"{""coordinates"": [-74.08142846699991, 4.649816891000057], ""type"": ""Point""}";04140082;Clínica Federman;4;14;CL 58 A # 37 10;2213400;
4.631249572000058,-74.08546018999994;"{""coordinates"": [-74.08546018999994, 4.631249572000058], ""type"": ""Point""}";04140083;Clínica Fundadores;4;14;KR 36 # 25 C 15;3350966;http://www.mediasociados.com.co
4.588157526000089,-74.08535754399992;"{""coordinates"": [-74.08535754399992, 4.588157526000089], ""type"": ""Point""}";04140087;Hospital La Victoria III Nivel E.S.E - Sede Materno;4;14;KR 10 # 1 - 66 SUR;2805439;www.esevictoria.gov.co
4.629617207000081,-74.06720130199994;"{""coordinates"": [-74.06720130199994, 4.629617207000081], ""type"": ""Point""}";04140099;Caja de Compensación Familiar Compensar;4;14;CL 42 # 13 19;3208430;www.compensar.com/?
4.578087234000066,-74.1113061609999;"{""coordinates"": [-74.1113061609999, 4.578087234000066], ""type"": ""Point""}";04140103;Profamilia Quiroga;4;14;AV CARACAS # 31 19 SUR;2390953;
4.641996005000067,-74.06189243099993;"{""coordinates"": [-74.06189243099993, 4.641996005000067], ""type"": ""Point""}";04140105;Liga Contra el Cáncer Seccional Bogotá;4;14;CL 56 # 6 28;3458346;
4.623339408000049,-74.0826925529999;"{""coordinates"": [-74.0826925529999, 4.623339408000049], ""type"": ""Point""}";04140109;Hospital Universitario Mayor MEDERI;4;14;CL 24 29 45;;www.mederi.com.co
4.663707847000069,-74.08010953699994;"{""coordinates"": [-74.08010953699994, 4.663707847000069], ""type"": ""Point""}";04140119;Hospital Universitario Barrios Unidos Mederi;4;14;CL 66A 52 25;3290579;www.mederi.com.co
4.61526804600004,-74.1729695059999;"{""coordinates"": [-74.1729695059999, 4.61526804600004], ""type"": ""Point""}";04140121;Clínica Colsubsidio Roma;4;14;AK 80 53 40 SUR;;www.colsubsidio.com
4.739880178000078,-74.02505866799993;"{""coordinates"": [-74.02505866799993, 4.739880178000078], ""type"": ""Point""}";04140122;UPA San Cristóbal;4;14;CL 164 7 F 10;6711392;www.hospitalusaquen.gov.co
4.678229520000059,-74.14399847599992;"{""coordinates"": [-74.14399847599992, 4.678229520000059], ""type"": ""Point""}";04140130;CAMI San Pablo;4;14;KR 104 20C 21;5425232;www.hospitalfontibon.gov.co/
4.6811573970000495,-74.05755717399995;"{""coordinates"": [-74.05755717399995, 4.6811573970000495], ""type"": ""Point""}";04140133;Compensar Cl 94;4;14;CL 94 23 43;6445757;www.compensar.com
4.657288112000059,-74.05828988199993;"{""coordinates"": [-74.05828988199993, 4.657288112000059], ""type"": ""Point""}";05150031;Iglesia La Porciúncula;5;15;AC 71 10 76;;
4.581288313000073,-74.10180512199992;"{""coordinates"": [-74.10180512199992, 4.581288313000073], ""type"": ""Point""}";05150033;Centro de Ayuda Espiritual;5;15;AK 14 19A 90 SUR;;
4.557027647000041,-74.09319537899995;"{""coordinates"": [-74.09319537899995, 4.557027647000041], ""type"": ""Point""}";05150045;Parroquia San León Magno;5;15;DG 34 SUR 2A 54 ESTE;3629661;
4.618778025000039,-74.15867550899992;"{""coordinates"": [-74.15867550899992, 4.618778025000039], ""type"": ""Point""}";05150051;Parroquia Santa Margarita María;5;15;TV 78K 41B 70 SUR;2658365;
4.706914741000048,-74.10410484499992;"{""coordinates"": [-74.10410484499992, 4.706914741000048], ""type"": ""Point""}";05150090;Iglesia Jesucristo de Los Santos de Los Últimos Días;5;15;CL 82 90B 21;;
4.598769530000084,-74.07782475099992;"{""coordinates"": [-74.07782475099992, 4.598769530000084], ""type"": ""Point""}";05150093;Iglesia La Concepción;5;15;KR 9 10 19;2823697;
4.619826850000038,-74.08221709199995;"{""coordinates"": [-74.08221709199995, 4.619826850000038], ""type"": ""Point""}";05150094;Capilla La Milagrosa;5;15;CL 22C 26 35;2697338;
4.599646642000039,-74.10146596499993;"{""coordinates"": [-74.10146596499993, 4.599646642000039], ""type"": ""Point""}";05150110;Parroquia Nuestra Señora de Las Lajas;5;15;CL 1F 28 26;3512369;
4.592458288000046,-74.1412313099999;"{""coordinates"": [-74.1412313099999, 4.592458288000046], ""type"": ""Point""}";05150123;Parroquia Santa Cecilia;5;15;DG 49 SUR 53 56;2383372;
4.615380406000043,-74.1247206279999;"{""coordinates"": [-74.1247206279999, 4.615380406000043], ""type"": ""Point""}";05150146;Parroquia San Irinco;5;15;KR 56 14 48 SUR;2623129;
4.588299965000089,-74.17227016699991;"{""coordinates"": [-74.17227016699991, 4.588299965000089], ""type"": ""Point""}";05150159;Parroquia Señor de La Buena Esperanza;5;15;TV 73J 62H 04 SUR;;
4.5885246270000835,-74.08135447499988;"{""coordinates"": [-74.08135447499988, 4.5885246270000835], ""type"": ""Point""}";05150160;Parroquia Nuestra Señora del Camen de las Cruces;5;15;CL 1F 7 49;;
4.589611719000061,-74.11353343999991;"{""coordinates"": [-74.11353343999991, 4.589611719000061], ""type"": ""Point""}";05150162;Iglesia Nuestra Señora de La Paz;5;15;KR 29 29 06 SUR;;
4.696810335000065,-74.11934133599993;"{""coordinates"": [-74.11934133599993, 4.696810335000065], ""type"": ""Point""}";05150169;Iglesia Santa Juana;5;15;CL 66A 97A 34;;
4.683825486000045,-74.09412573899994;"{""coordinates"": [-74.09412573899994, 4.683825486000045], ""type"": ""Point""}";05150181;Templo Adventista Séptimo Día;5;15;KR 70G 71 20;;
4.613297990000092,-74.0772413219999;"{""coordinates"": [-74.0772413219999, 4.613297990000092], ""type"": ""Point""}";05150196;Iglesia María Reina;5;15;CL 22D 17 33;;
4.614245335000078,-74.21149482999994;"{""coordinates"": [-74.21149482999994, 4.614245335000078], ""type"": ""Point""}";05150199;Capilla San José;5;15;CL 86A SUR 80I 11;7793639;
4.748642865000079,-74.0236567849999;"{""coordinates"": [-74.0236567849999, 4.748642865000079], ""type"": ""Point""}";05150200;Parroquia San Juan Bosco;5;15;AC 170 7 60;6711145;
4.680974090000063,-74.14999008899991;"{""coordinates"": [-74.14999008899991, 4.680974090000063], ""type"": ""Point""}";05150205;Iglesia Nuestra Señora de Fontibón;5;15;CL 18 110 58;4133469;
4.560795966000057,-74.09472898199994;"{""coordinates"": [-74.09472898199994, 4.560795966000057], ""type"": ""Point""}";05150209;Parroquia San León Magno;5;15;CL 31F SUR 1 07;3620500;
4.66319717600004,-74.08034048199994;"{""coordinates"": [-74.08034048199994, 4.66319717600004], ""type"": ""Point""}";05150217;Iglesia de Jesucristo de los Santos de los Últimos Días;5;15;KR 52 65 25;;https://www.lds.org/?lang=spa?
4.601472226000055,-74.15169876599992;"{""coordinates"": [-74.15169876599992, 4.601472226000055], ""type"": ""Point""}";05150236;Parroquia Nuestra Señora de la Salud;5;15;TV 72I BIS 48B 58 SUR;7101575;
4.571645272000069,-74.0829741199999;"{""coordinates"": [-74.0829741199999, 4.571645272000069], ""type"": ""Point""}";05150246;Iglesia San Cristóbal;5;15;DG 13 SUR 2 81 ESTE;;
4.6286388220000845,-74.07649069099995;"{""coordinates"": [-74.07649069099995, 4.6286388220000845], ""type"": ""Point""}";05150255;Iglesia de Nuestra Señora de la Soledad;5;15;KR 25 39 79;;
4.720595316000071,-74.04542060099993;"{""coordinates"": [-74.04542060099993, 4.720595316000071], ""type"": ""Point""}";05150269;Iglesia San Juan de Ávila;5;15;CL 136 18 14;;
4.593886479000048,-74.07797465499993;"{""coordinates"": [-74.07797465499993, 4.593886479000048], ""type"": ""Point""}";05150271;Iglesia de San Agustín;5;15;CL 7 7 13;;
4.654538868000088,-74.08642613099994;"{""coordinates"": [-74.08642613099994, 4.654538868000088], ""type"": ""Point""}";05150274;Centro Religioso Policía Nacional;5;15;AC 63 56A 55;3157959;
4.664514784000062,-74.0684137319999;"{""coordinates"": [-74.0684137319999, 4.664514784000062], ""type"": ""Point""}";07260879;Colegio San Felipe Neri;7;26;AC 72 27 10;;
4.614740491000077,-74.13910618299991;"{""coordinates"": [-74.13910618299991, 4.614740491000077], ""type"": ""Point""}";06210219;Alcaldía Local de Sumapaz;6;21;CL 35 SUR 70B 25;3407030;www.sumapaz.gov.co
4.606778863000045,-74.07006453199995;"{""coordinates"": [-74.07006453199995, 4.606778863000045], ""type"": ""Point""}";06210021;Alcaldía Local de Santafé;6;21;CL 21 5 84;;www.santafe.gov.co
4.598959339000089,-74.1805532859999;"{""coordinates"": [-74.1805532859999, 4.598959339000089], ""type"": ""Point""}";06210029;CADE Bosa;6;21;KR 77J 63 53 SUR;;http://portel.bogota.gov.co
4.641757298000073,-74.06463647399994;"{""coordinates"": [-74.06463647399994, 4.641757298000073], ""type"": ""Point""}";06210045;Alcaldía Local de Chapinero;6;21;KR 13 54 74;3486200;www.chapinero.gov.co
4.624977942000044,-74.08152070499995;"{""coordinates"": [-74.08152070499995, 4.624977942000044], ""type"": ""Point""}";06210056;Centro Administrativo Distrital - CAD;6;21;AK 30 25 90;;
4.638507030000085,-74.07994239399994;"{""coordinates"": [-74.07994239399994, 4.638507030000085], ""type"": ""Point""}";06210057;Instituto Geográfico Agustín Codazzi - IGAC;6;21;AK 30 45 03;3683592;www.igac.gov.co/?
4.64482367800008,-74.09621842999991;"{""coordinates"": [-74.09621842999991, 4.64482367800008], ""type"": ""Point""}";06210066;Ministerio de Defensa Nacional;6;21;KR 54 26 25;;www.mindefensa.gov.co
4.646178341000052,-74.09592862399995;"{""coordinates"": [-74.09592862399995, 4.646178341000052], ""type"": ""Point""}";06210069;Instituto Colombiano de Desarrollo Rural - INCODER;6;21;KR 59 26 60;;www.incoder.gov.co
4.594094778000056,-74.07832724799994;"{""coordinates"": [-74.07832724799994, 4.594094778000056], ""type"": ""Point""}";06210077;Ministerio de Hacienda;6;21;KR 8 6C 38;;www.minhacienda.gov.co
4.624246147000065,-74.0674748209999;"{""coordinates"": [-74.0674748209999, 4.624246147000065], ""type"": ""Point""}";06210079;Edificio Ecopetrol Sede Principal;6;21;KR 13 35 75;2854240;
4.597880190000069,-74.07690822799992;"{""coordinates"": [-74.07690822799992, 4.597880190000069], ""type"": ""Point""}";06210087;Secretaria de Cultura, Recreación y Deporte;6;21;KR 8 9 83;;www.culturarecreacionydeporte.gov.co
4.741197998000075,-74.08522695099992;"{""coordinates"": [-74.08522695099992, 4.741197998000075], ""type"": ""Point""}";06250010;Estación de Bomberos Suba;6;25;KR 92 146C 49;6804141;www.bomberosbogota.gov.co
4.714120472000047,-74.12074812399993;"{""coordinates"": [-74.12074812399993, 4.714120472000047], ""type"": ""Point""}";06250012;Estación de Bomberos Garcés Navas;6;25;KR 110 77 24;2272658;www.bomberosbogota.gov.co
4.591289110000048,-74.13587046399994;"{""coordinates"": [-74.13587046399994, 4.591289110000048], ""type"": ""Point""}";06250013;Estación de Bomberos de Venecia;6;25;DG 49A SUR 49 61;2048209;www.bomberosbogota.gov.co
4.674396149000074,-74.10215437699992;"{""coordinates"": [-74.10215437699992, 4.674396149000074], ""type"": ""Point""}";07260044;Colegio Distrital Mariano Ospina Pérez;7;26;CL 63B No. 71A-16;;http://www.sedbogota.edu.co/
4.686540667000088,-74.0826792599999;"{""coordinates"": [-74.0826792599999, 4.686540667000088], ""type"": ""Point""}";07260056;Colegio Distrital Magdalena Ortega de Nariño;7;26;CR 69B No. 78A-34;;http://www.sedbogota.edu.co/
4.735408885000084,-74.09330623099993;"{""coordinates"": [-74.09330623099993, 4.735408885000084], ""type"": ""Point""}";07260061;Centro Educativo Distrital La Chucua Norte;7;26;CL 133 No. 98B-24;6814710;http://www.sedbogota.edu.co/
4.728620806000038,-74.09988411599993;"{""coordinates"": [-74.09988411599993, 4.728620806000038], ""type"": ""Point""}";07260063;Centro Educativo Distrital Nueva Colombia;7;26;CL 128C No. 102A-25;;http://www.sedbogota.edu.co/
4.726729388000081,-74.05445122299994;"{""coordinates"": [-74.05445122299994, 4.726729388000081], ""type"": ""Point""}";07260064;Centro Educativo Distrital Prado Pinzón;7;26;CR 50 No. 143-33;5225698;http://www.sedbogota.edu.co/
4.756483622000076,-74.09061314099993;"{""coordinates"": [-74.09061314099993, 4.756483622000076], ""type"": ""Point""}";07260078;Colegio Distrital Chorrillos;7;26;CR 103B No. 152-12;6846463;http://www.sedbogota.edu.co/
4.765937306000069,-74.03961014899993;"{""coordinates"": [-74.03961014899993, 4.765937306000069], ""type"": ""Point""}";07260080;Colegio Distrital Aquileo Parra;7;26;CR 18A No. 187-67;6704916;http://www.sedbogota.edu.co/
4.652135763000047,-74.07553855299994;"{""coordinates"": [-74.07553855299994, 4.652135763000047], ""type"": ""Point""}";07260094;Centro Educativo Distrital Alemania;7;26;CR 28 No. 63-64;2126019;http://www.sedbogota.edu.co/
4.672212161000061,-74.0735452949999;"{""coordinates"": [-74.0735452949999, 4.672212161000061], ""type"": ""Point""}";07260099;Colegio Distrital Rafael Bernal Jiménez;7;26;CR 53 No. 75-17;;http://www.sedbogota.edu.co/
4.683130562000088,-74.06324630299991;"{""coordinates"": [-74.06324630299991, 4.683130562000088], ""type"": ""Point""}";07260101;Centro Educativo Distrital Carlos Sanz de Santamaría;7;26;CR 56 No. 94C-23;2579062;http://www.sedbogota.edu.co/
4.644523456000059,-74.06625119299991;"{""coordinates"": [-74.06625119299991, 4.644523456000059], ""type"": ""Point""}";07260111;Colegio Distrital Manuela Beltrán;7;26;CR 14A No. 57-28;;http://www.sedbogota.edu.co/
4.757666418000042,-74.04070176099992;"{""coordinates"": [-74.04070176099992, 4.757666418000042], ""type"": ""Point""}";07260113;Colegio Distrital Saludcoop Norte;7;26;CL 181 No. 18B-83;;http://www.sedbogota.edu.co/
4.596172201000059,-74.0941593039999;"{""coordinates"": [-74.0941593039999, 4.596172201000059], ""type"": ""Point""}";07260115;Centro Educativo Distrital Emma Villegas de Gaitán;7;26;CR 21 No. 1H-06;2337984;http://www.sedbogota.edu.co/
4.605981371000041,-74.08620057199994;"{""coordinates"": [-74.08620057199994, 4.605981371000041], ""type"": ""Point""}";07260120;Colegio Distrital Liceo Nacional Agustín Nieto Caballero;7;26;CR 22 No. 12-49;;http://www.sedbogota.edu.co/
4.6202432990000375,-74.16017051099993;"{""coordinates"": [-74.16017051099993, 4.6202432990000375], ""type"": ""Point""}";06250016;Estación de Bomberos de Kennedy;6;25;KR 79 41D 20 SUR;2648343;www.bomberosbogota.gov.co
4.590632152000069,-74.11887666599995;"{""coordinates"": [-74.11887666599995, 4.590632152000069], ""type"": ""Point""}";06250019;Sub Estación de Policía de Muzu;6;25;AK 30 34 19 SUR;;www.policia.gov.co
4.6413901100000885,-74.05779490399993;"{""coordinates"": [-74.05779490399993, 4.6413901100000885], ""type"": ""Point""}";06250049;Estación de Policía Chapinero;6;25;KR 1 57 00;3484488;www.policia.gov.co
4.569777470000076,-74.0861128599999;"{""coordinates"": [-74.0861128599999, 4.569777470000076], ""type"": ""Point""}";06250052;Estación de Policía San Cristóbal;6;25;CL 22 S 1 90 E;3282000;www.policia.gov.co
4.704107950000093,-74.13265234799991;"{""coordinates"": [-74.13265234799991, 4.704107950000093], ""type"": ""Point""}";06240004;Fábrica Indubo;6;24;KR 111C 64D 40;4336918;
4.605490712000062,-74.13175602099994;"{""coordinates"": [-74.13175602099994, 4.605490712000062], ""type"": ""Point""}";06240022;Munal;6;24;AK 68 34 21 SUR;;
4.639227340000048,-74.1052052469999;"{""coordinates"": [-74.1052052469999, 4.639227340000048], ""type"": ""Point""}";06240025;Chevron Texaco;6;24;KR 56 19 95;2612077;
4.624502976000088,-74.08949111599992;"{""coordinates"": [-74.08949111599992, 4.624502976000088], ""type"": ""Point""}";06240033;Bavaria Dirección de Ventas Bogotá;6;24;AC 23 32C 11;;www.bavaria.com.co/?
4.642694026000072,-74.13211747699995;"{""coordinates"": [-74.13211747699995, 4.642694026000072], ""type"": ""Point""}";06240056;Bavaria SA.;6;24;AC 12 69G 57;;www.bavaria.com.co/?
4.578300603000059,-74.08670922699991;"{""coordinates"": [-74.08670922699991, 4.578300603000059], ""type"": ""Point""}";06240067;BEG Fábrica de Lubricantes;6;24;KR 6 11 52 SUR;2891688;http://www.beglubricantes.com/
4.488198073000092,-74.10240901899994;"{""coordinates"": [-74.10240901899994, 4.488198073000092], ""type"": ""Point""}";06240071;Matadero Frigo Iberia;6;24;KR 6H ESTE 113 20 SUR;7674122;
4.697676975000092,-74.16082938199992;"{""coordinates"": [-74.16082938199992, 4.697676975000092], ""type"": ""Point""}";06240076;Protex SA.;6;24;CL 22A 130 48;4217409;www.protexsa.com.co
4.681562108000094,-74.11751985299992;"{""coordinates"": [-74.11751985299992, 4.681562108000094], ""type"": ""Point""}";06240098;Laboratorios Spaison Ltda;6;24;AK 86 51 85;2630719;
4.693043596000052,-74.11845716499994;"{""coordinates"": [-74.11845716499994, 4.693043596000052], ""type"": ""Point""}";06240128;Luminex Legrand;6;24;CL 65A 93 91;4376700;
4.499660797000047,-74.1439270489999;"{""coordinates"": [-74.1439270489999, 4.499660797000047], ""type"": ""Point""}";06240138;Doña Juana ESP SA;6;24;KR 4 74 01 SUR IN 16;;
4.645530989000065,-74.09948340599993;"{""coordinates"": [-74.09948340599993, 4.645530989000065], ""type"": ""Point""}";06210122;Avianca;6;21;AV EL DORADO 59 15;5877700;www.avianca.com/Colombia
4.64167963400007,-74.07235696499993;"{""coordinates"": [-74.07235696499993, 4.64167963400007], ""type"": ""Point""}";06210146;Notaría 14;6;21;CL 53 21 20;217 55 70;
4.68884579300004,-74.04653727099992;"{""coordinates"": [-74.04653727099992, 4.68884579300004], ""type"": ""Point""}";06210154;Notaría 22;6;21;CL 104 14A 66;218 92 97;
4.620737755000049,-74.06808912799994;"{""coordinates"": [-74.06808912799994, 4.620737755000049], ""type"": ""Point""}";06210161;Notaría 29;6;21;KR 13 33 42;746 29 29;
4.684969638000041,-74.05030352599994;"{""coordinates"": [-74.05030352599994, 4.684969638000041], ""type"": ""Point""}";06210178;Notaría 46;6;21;CL 100 17 25  Piso 2;610 64 55;
4.693849240000077,-74.1037367419999;"{""coordinates"": [-74.1037367419999, 4.693849240000077], ""type"": ""Point""}";06210198;Notaría 67;6;21;AC 72 82 39/45;430 52 94;
4.682969615000047,-74.09000966899993;"{""coordinates"": [-74.09000966899993, 4.682969615000047], ""type"": ""Point""}";06210201;Notaría 70;6;21;KR 69J 72 36;491 36 99;
4.693819518000055,-74.06705086199992;"{""coordinates"": [-74.06705086199992, 4.693819518000055], ""type"": ""Point""}";06210205;Notaría 75;6;21;TV 60 106 52;271 64 46;
4.674305744000037,-74.10903533699991;"{""coordinates"": [-74.10903533699991, 4.674305744000037], ""type"": ""Point""}";06210206;Notaría 76;6;21;CL 53 73A 73;263 88 55;
4.670722778000084,-74.04988645599991;"{""coordinates"": [-74.04988645599991, 4.670722778000084], ""type"": ""Point""}";06230042;Embajada República Bolivariana de Venezuela;6;23;KR 11 87 51 Piso 5;6445555;http://colombia.embajada.gob.ve/
4.645013171000073,-74.05926277299994;"{""coordinates"": [-74.05926277299994, 4.645013171000073], ""type"": ""Point""}";07270009;Universidad de La Salle;7;27;KR 5 59A 44;;unisalle.lasalle.edu.co
4.600401856000076,-74.0734073239999;"{""coordinates"": [-74.0734073239999, 4.600401856000076], ""type"": ""Point""}";07270015;Universidad del Rosario;7;27;CL 12C 6 25;;www.urosario.edu.co
4.621436016000075,-74.06668922499995;"{""coordinates"": [-74.06668922499995, 4.621436016000075], ""type"": ""Point""}";07270020;Universidad Colegio Mayor de Cundinamarca;7;27;CL 34 6 34;;www.unicolmayor.edu.co
4.595253383000055,-74.06884153199991;"{""coordinates"": [-74.06884153199991, 4.595253383000055], ""type"": ""Point""}";07270023;Universidad Externado de Colombia;7;27;CL 12 1 17 ESTE;;www.uexternado.edu.co/?
4.634225083000047,-74.06677517499992;"{""coordinates"": [-74.06677517499992, 4.634225083000047], ""type"": ""Point""}";07270042;Universidad Católica de Colombia;7;27;CL 47 13 63;;www.ucatolica.edu.co
4.623890044000063,-74.07228810999992;"{""coordinates"": [-74.07228810999992, 4.623890044000063], ""type"": ""Point""}";07270046;UDCA Universidad de Ciencias Aplicadas y Ambientales;7;27;KR 17 34 41;;www.udca.edu.co
4.642495262000068,-74.05424650499992;"{""coordinates"": [-74.05424650499992, 4.642495262000068], ""type"": ""Point""}";07270052;Universidad Manuela Beltrán;7;27;AV Circunvalar 60 00;2320788;portal.umb.edu.co/?
4.659768236000047,-74.0779885579999;"{""coordinates"": [-74.0779885579999, 4.659768236000047], ""type"": ""Point""}";07270059;Universidad Distrital Francisco José de Caldas;7;27;AK 30 64 81;;www.udistrital.edu.co
4.753869493000082,-74.05332161699994;"{""coordinates"": [-74.05332161699994, 4.753869493000082], ""type"": ""Point""}";07270064;Fundación Universitaria Agraria de Colombia Uniagraria;7;27;AC 170 54A 10;6698269;www.uniagraria.edu.co
4.668186159000072,-74.05878366899992;"{""coordinates"": [-74.05878366899992, 4.668186159000072], ""type"": ""Point""}";07270066;Fundación Universitaria San Martín;7;27;KR 19 80 56;;www.sanmartin.edu.co
4.647987414000056,-74.06643655799991;"{""coordinates"": [-74.06643655799991, 4.647987414000056], ""type"": ""Point""}";07270070;Fundación Universitaria San Martín;7;27;KR 15A 60 64;;www.sanmartin.edu.co
4.71444891200008,-74.14132136199993;"{""coordinates"": [-74.14132136199993, 4.71444891200008], ""type"": ""Point""}";07260013;Colegio Distrital General Santander;7;26;CL 64 No. 122A-60;;http://www.sedbogota.edu.co/
4.712991487000068,-74.0982725569999;"{""coordinates"": [-74.0982725569999, 4.712991487000068], ""type"": ""Point""}";07260018;Colegio Distrital José Asunción Silva;7;26;CR 92 No. 89-79;2512811;http://www.sedbogota.edu.co/
4.743112167000049,-74.03599180099991;"{""coordinates"": [-74.03599180099991, 4.743112167000049], ""type"": ""Point""}";07260020;Centro Educativo Distrital Babilonia;7;26;CRA 14C No. 164-75;;http://www.sedbogota.edu.co/
4.673896123000077,-74.10150094799991;"{""coordinates"": [-74.10150094799991, 4.673896123000077], ""type"": ""Point""}";07260024;Centro Educativo Distrital Mercedes de Fernández;7;26;CL 63B No. 70C-10;2521432;http://www.sedbogota.edu.co/
4.684094278000089,-74.08218627299993;"{""coordinates"": [-74.08218627299993, 4.684094278000089], ""type"": ""Point""}";07260032;Centro Educativo Distrital Santa Fe de Bogotá;7;26;CR 68G No. 78-50;;http://www.sedbogota.edu.co/
4.617281949000073,-74.1226276939999;"{""coordinates"": [-74.1226276939999, 4.617281949000073], ""type"": ""Point""}";07260144;Colegio Distrital Educativo Básica y Media José Manuel Restrepo;7;26;CL 2 BIS No. 56A-67;;http://www.sedbogota.edu.co/
4.575529754000058,-74.11965933399995;"{""coordinates"": [-74.11965933399995, 4.575529754000058], ""type"": ""Point""}";07260163;Centro Educativo Distrital El Pesebre;7;26;AV CARACAS No. 38-02 SUR;2053030;http://www.sedbogota.edu.co/
4.543819143000064,-74.11745393699994;"{""coordinates"": [-74.11745393699994, 4.543819143000064], ""type"": ""Point""}";07260171;Centro Educativo Distrital La Paz;7;26;DG 52A SUR No. 5B-48;5690362;http://www.sedbogota.edu.co/
4.577428309000084,-74.12583878799995;"{""coordinates"": [-74.12583878799995, 4.577428309000084], ""type"": ""Point""}";07260176;Centro Educativo Distrital Manuel del Socorro Rodríguez;7;26;AC 44 SUR No. 23A-52;;http://www.sedbogota.edu.co/
4.5858798940000725,-74.10930073299994;"{""coordinates"": [-74.10930073299994, 4.5858798940000725], ""type"": ""Point""}";07260184;Centro Educativo Distrital Pablo VI;7;26;CR 24C No. 25A-10 SUR;3618330;http://www.sedbogota.edu.co/
4.550391747000049,-74.15288106499992;"{""coordinates"": [-74.15288106499992, 4.550391747000049], ""type"": ""Point""}";07260230;Centro Educativo Distrital Villas del Diamante;7;26;CL 69R SUR No. 18N-06;7920554;http://www.sedbogota.edu.co/
4.550816442000041,-74.13816240299991;"{""coordinates"": [-74.13816240299991, 4.550816442000041], ""type"": ""Point""}";07260234;Colegio Distrital Educativo Básica y Media León de Greiff;7;26;CR 17B No. 68-16 SUR;;http://www.sedbogota.edu.co/
4.557514825000055,-74.14612518599994;"{""coordinates"": [-74.14612518599994, 4.557514825000055], ""type"": ""Point""}";07260237;Colegio Distrital Educativo Básica y Media Compartir Meissen;7;26;CR 18T No. 65A-27 SUR;;http://www.sedbogota.edu.co/
